,id,fly_from,fly_to,airline,flight,date,departure_time,arrival_time,price
33,34,SYD,MEL,Qantas,QF673,22/10/21,13:32,15:07,254
34,35,SYD,MEL,Jetstar,JQ131,22/10/03,14:17,15:52,167
35,36,SYD,MEL,Jetstar,JQ475,22/12/08,16:27,18:02,224
36,37,SYD,MEL,Qantas,QF935,22/10/23,17:24,18:59,224
37,38,SYD,MEL,Jetstar,JQ493,22/11/22,06:19,07:54,181
38,39,SYD,MEL,Jetstar,JQ624,22/12/06,21:27,23:02,71
39,40,SYD,MEL,Qantas,QF527,22/09/17,18:07,19:42,236
40,41,SYD,MEL,Qantas,QF305,22/12/13,09:04,10:39,382
41,42,SYD,MEL,Qantas,QF892,22/10/11,16:28,18:03,283
42,43,SYD,MEL,Qantas,QF799,22/10/01,18:11,19:46,262
43,44,SYD,MEL,Jetstar,JQ528,22/12/16,21:12,22:47,207
44,45,SYD,MEL,Virgin,VA227,22/11/10,07:12,08:47,281
45,46,SYD,MEL,Jetstar,JQ998,22/12/09,08:06,09:41,335
46,47,SYD,MEL,Jetstar,JQ582,22/10/31,11:00,12:35,171
47,48,SYD,MEL,Jetstar,JQ125,22/10/05,15:26,17:01,459
48,49,SYD,MEL,Jetstar,JQ135,22/12/20,21:26,23:01,278
49,50,SYD,MEL,Qantas,QF926,22/11/03,21:48,23:23,289
50,51,SYD,MEL,Jetstar,JQ966,22/12/10,12:58,14:33,486
51,52,SYD,MEL,Virgin,VA410,22/12/25,18:16,19:51,291
52,53,SYD,MEL,Jetstar,JQ677,22/12/11,22:02,23:37,308
53,54,SYD,MEL,Jetstar,JQ531,22/11/22,20:13,21:48,369
54,55,SYD,MEL,Virgin,VA639,22/11/25,11:31,13:06,198
55,56,SYD,MEL,Virgin,VA108,22/11/11,23:40,01:15,285
56,57,SYD,MEL,Qantas,QF877,22/12/10,07:03,08:38,213
57,58,SYD,MEL,Virgin,VA212,22/11/21,09:11,10:46,478
58,59,SYD,MEL,Qantas,QF553,22/11/28,13:36,15:11,356
59,60,SYD,MEL,Qantas,QF337,22/10/09,21:12,22:47,431
60,61,SYD,MEL,Qantas,QF316,22/12/18,21:10,22:45,164
61,62,SYD,MEL,Qantas,QF641,22/12/18,19:26,21:01,342
62,63,SYD,MEL,Jetstar,JQ608,22/10/16,16:20,17:55,245
63,64,SYD,MEL,Virgin,VA789,22/12/03,09:30,11:05,165
64,65,SYD,MEL,Virgin,VA370,22/12/07,20:37,22:12,335
65,66,SYD,MEL,Jetstar,JQ163,22/12/17,20:30,22:05,80
66,67,SYD,MEL,Qantas,QF806,22/11/08,11:09,12:44,104
67,68,SYD,MEL,Jetstar,JQ683,22/12/11,15:48,17:23,344
68,69,SYD,MEL,Qantas,QF602,22/10/06,19:45,21:20,188
69,70,SYD,MEL,Virgin,VA788,22/11/08,18:56,20:31,490
70,71,SYD,MEL,Jetstar,JQ707,22/10/06,08:27,10:02,377
71,72,SYD,MEL,Qantas,QF746,22/12/28,16:42,18:17,431
72,73,SYD,MEL,Jetstar,JQ761,22/11/01,06:36,08:11,182
73,74,SYD,MEL,Virgin,VA285,22/12/09,20:37,22:12,266
74,75,SYD,MEL,Virgin,VA775,22/10/09,19:14,20:49,96
75,76,SYD,MEL,Qantas,QF344,22/10/16,08:25,10:00,317
76,77,SYD,MEL,Qantas,QF964,22/12/10,11:43,13:18,258
77,78,SYD,MEL,Qantas,QF468,22/10/23,08:08,09:43,204
78,79,SYD,MEL,Jetstar,JQ550,22/09/26,18:30,20:05,285
79,80,SYD,MEL,Virgin,VA437,22/11/08,11:53,13:28,303
80,81,SYD,MEL,Virgin,VA694,22/09/19,22:41,00:16,301
81,82,SYD,MEL,Jetstar,JQ295,22/11/14,18:27,20:02,146
82,83,SYD,MEL,Virgin,VA135,22/12/28,11:35,13:10,202
83,84,SYD,MEL,Virgin,VA629,22/10/25,23:04,00:39,355
84,85,SYD,MEL,Qantas,QF408,22/10/01,22:33,00:08,128
85,86,SYD,MEL,Qantas,QF387,22/11/17,23:20,00:55,157
86,87,SYD,MEL,Virgin,VA819,22/10/14,14:26,16:01,88
87,88,SYD,MEL,Jetstar,JQ276,22/11/09,12:18,13:53,209
88,89,SYD,MEL,Virgin,VA650,22/11/01,21:31,23:06,180
89,90,SYD,MEL,Jetstar,JQ954,22/11/13,18:27,20:02,352
90,91,SYD,MEL,Qantas,QF609,22/12/11,17:49,19:24,253
91,92,SYD,MEL,Qantas,QF643,22/11/19,10:49,12:24,238
92,93,SYD,MEL,Qantas,QF331,22/09/23,08:12,09:47,106
93,94,SYD,MEL,Jetstar,JQ251,22/10/09,12:47,14:22,258
94,95,SYD,MEL,Qantas,QF987,22/11/25,11:03,12:38,203
95,96,SYD,MEL,Jetstar,JQ756,22/09/16,07:22,08:57,358
96,97,SYD,MEL,Jetstar,JQ955,22/11/01,17:45,19:20,267
97,98,SYD,MEL,Jetstar,JQ835,22/12/09,23:02,00:37,147
98,99,SYD,MEL,Jetstar,JQ272,22/11/21,23:01,00:36,447
99,100,SYD,MEL,Qantas,QF303,22/12/29,08:23,09:58,105
100,101,SYD,MEL,Qantas,QF111,22/12/30,15:44,17:19,426
101,102,SYD,MEL,Virgin,VA621,22/09/28,06:35,08:10,404
102,103,SYD,MEL,Jetstar,JQ503,22/11/01,23:58,01:33,354
103,104,SYD,MEL,Qantas,QF341,22/10/12,11:54,13:29,294
104,105,SYD,MEL,Virgin,VA937,22/12/28,06:47,08:22,150
105,106,SYD,MEL,Qantas,QF403,22/10/07,21:41,23:16,408
106,107,SYD,MEL,Virgin,VA529,22/09/30,12:13,13:48,375
107,108,SYD,MEL,Virgin,VA726,22/10/07,22:37,00:12,387
108,109,SYD,MEL,Jetstar,JQ201,22/11/16,09:16,10:51,128
109,110,SYD,MEL,Virgin,VA966,22/11/30,18:40,20:15,407
110,111,SYD,MEL,Jetstar,JQ369,22/12/24,16:58,18:33,124
111,112,SYD,MEL,Qantas,QF109,22/10/11,22:31,00:06,473
112,113,SYD,MEL,Qantas,QF352,22/10/11,23:12,00:47,427
113,114,SYD,MEL,Virgin,VA383,22/10/30,13:41,15:16,405
114,115,SYD,MEL,Virgin,VA639,22/10/17,18:12,19:47,436
115,116,SYD,MEL,Jetstar,JQ699,22/11/17,19:08,20:43,296
116,117,SYD,MEL,Jetstar,JQ554,22/11/04,10:52,12:27,106
117,118,SYD,MEL,Qantas,QF845,22/09/29,09:47,11:22,103
118,119,SYD,MEL,Qantas,QF129,22/11/27,16:56,18:31,55
119,120,SYD,MEL,Jetstar,JQ799,22/11/13,06:46,08:21,146
120,121,SYD,MEL,Qantas,QF119,22/11/23,14:12,15:47,326
121,122,SYD,MEL,Virgin,VA996,22/09/18,21:31,23:06,435
122,123,SYD,MEL,Qantas,QF680,22/12/21,11:53,13:28,83
123,124,SYD,MEL,Qantas,QF567,22/10/09,18:21,19:56,442
124,125,SYD,MEL,Jetstar,JQ831,22/10/29,09:06,10:41,172
125,126,SYD,MEL,Virgin,VA996,22/10/14,19:50,21:25,257
126,127,SYD,MEL,Qantas,QF923,22/09/14,15:16,16:51,300
127,128,SYD,MEL,Jetstar,JQ435,22/12/04,12:16,13:51,161
128,129,SYD,MEL,Virgin,VA883,22/10/11,13:25,15:00,375
129,130,SYD,MEL,Jetstar,JQ559,22/11/10,17:39,19:14,80
130,131,SYD,MEL,Qantas,QF883,22/10/08,08:46,10:21,278
131,132,SYD,MEL,Jetstar,JQ994,22/10/21,08:11,09:46,309
132,133,SYD,MEL,Qantas,QF974,22/12/11,12:19,13:54,404
133,134,SYD,MEL,Qantas,QF823,22/11/15,16:16,17:51,82
134,135,SYD,MEL,Qantas,QF599,22/09/17,13:10,14:45,284
135,136,SYD,MEL,Qantas,QF732,22/10/30,15:04,16:39,353
136,137,SYD,MEL,Qantas,QF881,22/10/17,06:13,07:48,190
137,138,SYD,MEL,Virgin,VA803,22/12/24,14:14,15:49,150
138,139,SYD,MEL,Qantas,QF699,22/10/04,21:53,23:28,96
139,140,SYD,MEL,Jetstar,JQ537,22/11/11,09:59,11:34,213
140,141,SYD,MEL,Jetstar,JQ753,22/12/15,15:37,17:12,125
141,142,SYD,MEL,Jetstar,JQ595,22/11/11,10:49,12:24,409
142,143,SYD,MEL,Jetstar,JQ385,22/12/05,17:53,19:28,253
143,144,SYD,MEL,Jetstar,JQ524,22/12/21,11:25,13:00,59
144,145,SYD,MEL,Virgin,VA738,22/10/12,07:34,09:09,86
145,146,SYD,MEL,Qantas,QF759,22/11/23,10:54,12:29,263
146,147,SYD,MEL,Qantas,QF713,22/12/30,08:52,10:27,287
147,148,SYD,MEL,Virgin,VA285,22/10/27,17:55,19:30,183
148,149,SYD,MEL,Qantas,QF273,22/11/01,09:32,11:07,238
149,150,SYD,MEL,Virgin,VA530,22/10/15,08:23,09:58,485
150,151,SYD,MEL,Jetstar,JQ699,22/09/25,19:11,20:46,109
151,152,SYD,MEL,Qantas,QF542,22/09/30,08:51,10:26,101
152,153,SYD,MEL,Qantas,QF314,22/11/01,17:47,19:22,252
153,154,SYD,MEL,Virgin,VA633,22/11/06,14:00,15:35,273
154,155,SYD,MEL,Jetstar,JQ378,22/12/13,22:21,23:56,308
155,156,SYD,MEL,Qantas,QF554,22/10/18,06:26,08:01,175
156,157,SYD,MEL,Jetstar,JQ707,22/12/16,19:17,20:52,395
157,158,SYD,MEL,Jetstar,JQ778,22/11/12,07:38,09:13,332
158,159,SYD,MEL,Qantas,QF754,22/12/28,07:45,09:20,347
159,160,SYD,MEL,Qantas,QF212,22/12/08,15:49,17:24,289
160,161,SYD,MEL,Qantas,QF812,22/12/29,16:29,18:04,385
161,162,SYD,MEL,Qantas,QF631,22/12/28,23:47,01:22,267
162,163,SYD,MEL,Qantas,QF498,22/10/22,17:07,18:42,319
163,164,SYD,MEL,Qantas,QF529,22/09/14,11:27,13:02,226
164,165,SYD,MEL,Qantas,QF617,22/12/12,22:37,00:12,309
165,166,SYD,MEL,Qantas,QF253,22/11/02,20:39,22:14,349
166,167,SYD,MEL,Jetstar,JQ617,22/12/20,11:42,13:17,52
167,168,SYD,MEL,Jetstar,JQ185,22/12/05,18:45,20:20,231
168,169,SYD,MEL,Qantas,QF486,22/09/25,16:47,18:22,164
169,170,SYD,MEL,Qantas,QF810,22/11/08,13:45,15:20,128
170,171,SYD,MEL,Virgin,VA455,22/09/19,18:56,20:31,454
171,172,SYD,MEL,Virgin,VA199,22/11/02,22:07,23:42,226
172,173,SYD,MEL,Qantas,QF565,22/09/17,16:12,17:47,234
173,174,SYD,MEL,Jetstar,JQ800,22/12/17,07:07,08:42,296
174,175,SYD,MEL,Qantas,QF120,22/09/16,08:21,09:56,237
175,176,SYD,MEL,Qantas,QF772,22/11/22,12:44,14:19,92
176,177,SYD,MEL,Jetstar,JQ556,22/12/15,23:28,01:03,274
177,178,SYD,MEL,Qantas,QF338,22/11/07,09:04,10:39,261
178,179,SYD,MEL,Jetstar,JQ173,22/12/02,07:16,08:51,283
179,180,SYD,MEL,Jetstar,JQ761,22/11/22,12:41,14:16,434
180,181,SYD,MEL,Virgin,VA262,22/10/09,21:36,23:11,355
181,182,SYD,MEL,Qantas,QF124,22/12/19,09:45,11:20,116
182,183,SYD,MEL,Qantas,QF511,22/10/11,14:25,16:00,92
183,184,SYD,MEL,Qantas,QF944,22/09/27,11:14,12:49,248
184,185,SYD,MEL,Jetstar,JQ762,22/12/29,19:12,20:47,216
185,186,SYD,MEL,Jetstar,JQ785,22/11/20,20:05,21:40,215
186,187,SYD,MEL,Qantas,QF458,22/12/24,21:43,23:18,271
187,188,SYD,MEL,Jetstar,JQ390,22/11/30,08:55,10:30,425
188,189,SYD,MEL,Jetstar,JQ786,22/10/07,21:05,22:40,268
189,190,SYD,MEL,Qantas,QF404,22/10/10,15:09,16:44,221
190,191,SYD,MEL,Qantas,QF210,22/10/06,07:32,09:07,435
191,192,SYD,MEL,Jetstar,JQ257,22/10/28,14:39,16:14,89
192,193,SYD,MEL,Virgin,VA524,22/09/14,22:18,23:53,426
193,194,SYD,MEL,Virgin,VA159,22/10/17,23:54,01:29,261
194,195,SYD,MEL,Virgin,VA823,22/11/25,16:17,17:52,168
195,196,SYD,MEL,Jetstar,JQ363,22/12/04,23:40,01:15,445
196,197,SYD,MEL,Jetstar,JQ941,22/10/20,12:50,14:25,274
197,198,SYD,MEL,Virgin,VA361,22/09/30,12:31,14:06,464
198,199,SYD,MEL,Qantas,QF465,22/09/24,06:42,08:17,95
199,200,SYD,MEL,Virgin,VA128,22/11/08,21:20,22:55,462
200,201,SYD,MEL,Virgin,VA611,22/10/30,16:08,17:43,355
201,202,SYD,MEL,Qantas,QF452,22/10/21,17:58,19:33,309
202,203,SYD,MEL,Jetstar,JQ876,22/10/21,13:10,14:45,425
203,204,SYD,MEL,Virgin,VA388,22/11/26,16:42,18:17,232
204,205,SYD,MEL,Qantas,QF522,22/12/28,20:33,22:08,102
205,206,SYD,MEL,Qantas,QF724,22/12/08,06:59,08:34,180
206,207,SYD,MEL,Virgin,VA175,22/11/02,20:43,22:18,181
207,208,SYD,MEL,Jetstar,JQ938,22/09/26,06:31,08:06,84
208,209,SYD,MEL,Virgin,VA319,22/12/16,17:14,18:49,81
209,210,SYD,MEL,Qantas,QF997,22/11/16,18:19,19:54,470
210,211,SYD,MEL,Jetstar,JQ642,22/10/24,09:09,10:44,58
211,212,SYD,MEL,Jetstar,JQ691,22/11/25,15:51,17:26,99
212,213,SYD,MEL,Jetstar,JQ562,22/12/17,14:21,15:56,375
213,214,SYD,MEL,Virgin,VA212,22/12/20,06:44,08:19,226
214,215,SYD,MEL,Jetstar,JQ172,22/11/25,16:44,18:19,441
215,216,SYD,MEL,Jetstar,JQ311,22/11/24,11:03,12:38,243
216,217,SYD,MEL,Virgin,VA739,22/12/07,11:20,12:55,412
217,218,SYD,MEL,Virgin,VA583,22/10/11,18:14,19:49,420
218,219,SYD,MEL,Jetstar,JQ320,22/12/21,15:20,16:55,68
219,220,SYD,MEL,Jetstar,JQ115,22/12/19,15:34,17:09,127
220,221,SYD,MEL,Jetstar,JQ682,22/11/13,19:15,20:50,360
221,222,SYD,MEL,Qantas,QF516,22/12/30,07:48,09:23,149
222,223,SYD,MEL,Jetstar,JQ333,22/12/15,08:56,10:31,469
223,224,SYD,MEL,Virgin,VA135,22/09/17,08:09,09:44,157
224,225,SYD,MEL,Jetstar,JQ877,22/11/29,10:12,11:47,152
225,226,SYD,MEL,Virgin,VA240,22/12/29,22:54,00:29,130
226,227,SYD,MEL,Jetstar,JQ870,22/10/23,19:35,21:10,448
227,228,SYD,MEL,Virgin,VA672,22/12/24,18:29,20:04,306
228,229,SYD,MEL,Qantas,QF168,22/11/09,16:16,17:51,496
229,230,SYD,MEL,Jetstar,JQ172,22/10/11,21:34,23:09,296
230,231,SYD,MEL,Jetstar,JQ831,22/10/27,09:27,11:02,71
231,232,SYD,MEL,Virgin,VA732,22/12/19,17:04,18:39,338
232,233,SYD,MEL,Virgin,VA644,22/12/05,21:09,22:44,59
233,234,SYD,MEL,Qantas,QF626,22/11/30,19:27,21:02,491
234,235,SYD,MEL,Jetstar,JQ758,22/10/28,21:30,23:05,71
235,236,SYD,MEL,Qantas,QF146,22/10/26,09:41,11:16,183
236,237,SYD,MEL,Qantas,QF500,22/10/18,21:36,23:11,64
237,238,SYD,MEL,Virgin,VA648,22/12/18,17:06,18:41,480
238,239,SYD,MEL,Virgin,VA358,22/12/27,14:23,15:58,83
239,240,SYD,MEL,Jetstar,JQ206,22/10/29,19:18,20:53,296
240,241,SYD,MEL,Virgin,VA748,22/09/20,21:24,22:59,500
241,242,SYD,MEL,Virgin,VA568,22/10/18,14:12,15:47,217
242,243,SYD,MEL,Virgin,VA455,22/10/06,21:17,22:52,57
243,244,SYD,MEL,Qantas,QF517,22/10/03,11:01,12:36,440
244,245,SYD,MEL,Virgin,VA871,22/10/31,13:32,15:07,94
245,246,SYD,MEL,Jetstar,JQ475,22/11/26,11:00,12:35,235
246,247,SYD,MEL,Qantas,QF818,22/12/29,07:43,09:18,64
247,248,SYD,MEL,Jetstar,JQ146,22/12/13,23:32,01:07,485
248,249,SYD,MEL,Jetstar,JQ449,22/12/03,15:08,16:43,491
249,250,SYD,MEL,Virgin,VA322,22/12/24,16:59,18:34,383
250,251,SYD,MEL,Jetstar,JQ712,22/11/14,08:31,10:06,464
251,252,SYD,MEL,Jetstar,JQ608,22/11/16,10:42,12:17,195
252,253,SYD,MEL,Jetstar,JQ566,22/11/23,14:09,15:44,205
253,254,SYD,MEL,Qantas,QF332,22/09/22,12:20,13:55,112
254,255,SYD,MEL,Virgin,VA877,22/11/22,13:23,14:58,363
255,256,SYD,MEL,Virgin,VA719,22/11/04,11:04,12:39,77
256,257,SYD,MEL,Jetstar,JQ900,22/11/14,11:26,13:01,246
257,258,SYD,MEL,Virgin,VA703,22/10/21,09:21,10:56,345
258,259,SYD,MEL,Jetstar,JQ601,22/11/14,12:13,13:48,381
259,260,SYD,MEL,Jetstar,JQ876,22/12/24,17:04,18:39,460
260,261,SYD,MEL,Jetstar,JQ913,22/11/19,12:51,14:26,460
261,262,SYD,MEL,Virgin,VA641,22/10/17,08:24,09:59,290
262,263,SYD,MEL,Qantas,QF276,22/12/14,20:41,22:16,197
263,264,SYD,MEL,Qantas,QF968,22/12/18,15:07,16:42,128
264,265,SYD,MEL,Qantas,QF903,22/09/21,18:58,20:33,101
265,266,SYD,MEL,Qantas,QF762,22/11/29,16:58,18:33,382
266,267,SYD,MEL,Qantas,QF270,22/10/21,22:20,23:55,167
267,268,SYD,MEL,Virgin,VA877,22/12/19,18:32,20:07,119
268,269,SYD,MEL,Virgin,VA353,22/12/01,19:28,21:03,279
269,270,SYD,MEL,Qantas,QF129,22/12/15,07:33,09:08,237
270,271,SYD,MEL,Qantas,QF937,22/09/18,17:16,18:51,222
271,272,SYD,MEL,Qantas,QF857,22/11/19,17:51,19:26,221
272,273,SYD,MEL,Jetstar,JQ604,22/10/13,13:46,15:21,299
273,274,SYD,MEL,Virgin,VA584,22/10/12,12:23,13:58,378
274,275,SYD,MEL,Jetstar,JQ843,22/12/21,21:09,22:44,463
275,276,SYD,MEL,Qantas,QF572,22/11/03,15:51,17:26,131
276,277,SYD,MEL,Virgin,VA207,22/11/10,19:16,20:51,242
277,278,SYD,MEL,Virgin,VA475,22/09/18,07:52,09:27,385
278,279,SYD,MEL,Jetstar,JQ988,22/10/29,12:09,13:44,187
279,280,SYD,MEL,Virgin,VA561,22/09/21,18:31,20:06,392
280,281,SYD,MEL,Qantas,QF246,22/11/13,13:22,14:57,429
281,282,SYD,MEL,Qantas,QF434,22/11/29,11:34,13:09,371
282,283,SYD,MEL,Qantas,QF468,22/09/29,18:15,19:50,181
283,284,SYD,MEL,Jetstar,JQ189,22/11/09,14:09,15:44,316
284,285,SYD,MEL,Virgin,VA422,22/11/23,20:34,22:09,336
285,286,SYD,MEL,Qantas,QF877,22/12/18,13:25,15:00,187
286,287,SYD,MEL,Qantas,QF378,22/10/16,18:14,19:49,330
287,288,SYD,MEL,Virgin,VA936,22/11/23,08:03,09:38,69
288,289,SYD,MEL,Jetstar,JQ608,22/10/05,10:41,12:16,139
289,290,SYD,MEL,Qantas,QF593,22/12/06,19:27,21:02,291
290,291,SYD,MEL,Jetstar,JQ655,22/09/29,23:00,00:35,165
291,292,SYD,MEL,Jetstar,JQ956,22/11/13,11:05,12:40,213
292,293,SYD,MEL,Jetstar,JQ767,22/12/15,06:52,08:27,280
293,294,SYD,MEL,Jetstar,JQ449,22/09/20,08:52,10:27,85
294,295,SYD,MEL,Virgin,VA842,22/09/28,22:32,00:07,306
295,296,SYD,MEL,Virgin,VA529,22/11/29,15:01,16:36,487
296,297,SYD,MEL,Jetstar,JQ817,22/11/27,11:45,13:20,325
297,298,SYD,MEL,Qantas,QF758,22/09/24,17:33,19:08,172
298,299,SYD,MEL,Qantas,QF324,22/11/10,13:51,15:26,301
299,300,SYD,MEL,Jetstar,JQ192,22/12/13,17:27,19:02,178
300,301,SYD,MEL,Qantas,QF905,22/11/02,11:43,13:18,160
301,302,SYD,MEL,Virgin,VA218,22/10/22,10:21,11:56,471
302,303,SYD,MEL,Virgin,VA577,22/10/02,15:44,17:19,76
303,304,SYD,MEL,Qantas,QF750,22/09/16,08:52,10:27,174
304,305,SYD,MEL,Qantas,QF763,22/12/03,06:07,07:42,171
305,306,SYD,MEL,Qantas,QF725,22/12/06,10:46,12:21,384
306,307,SYD,MEL,Jetstar,JQ994,22/10/04,11:21,12:56,55
307,308,SYD,MEL,Jetstar,JQ109,22/11/29,08:07,09:42,337
308,309,SYD,MEL,Jetstar,JQ487,22/11/25,22:12,23:47,360
309,310,SYD,MEL,Jetstar,JQ465,22/09/20,12:37,14:12,369
310,311,SYD,MEL,Virgin,VA546,22/10/25,15:45,17:20,307
311,312,SYD,MEL,Virgin,VA862,22/11/07,14:54,16:29,301
312,313,SYD,MEL,Jetstar,JQ153,22/09/19,13:17,14:52,213
313,314,SYD,MEL,Virgin,VA627,22/12/29,18:24,19:59,421
314,315,SYD,MEL,Virgin,VA784,22/12/11,20:27,22:02,458
315,316,SYD,MEL,Virgin,VA263,22/11/23,15:35,17:10,474
316,317,SYD,MEL,Virgin,VA484,22/10/30,14:05,15:40,76
317,318,SYD,MEL,Qantas,QF324,22/10/06,09:51,11:26,369
318,319,SYD,MEL,Qantas,QF760,22/11/21,12:41,14:16,362
319,320,SYD,MEL,Jetstar,JQ749,22/11/15,10:54,12:29,416
320,321,SYD,MEL,Jetstar,JQ656,22/12/14,18:26,20:01,138
321,322,SYD,MEL,Virgin,VA248,22/12/05,17:28,19:03,442
322,323,SYD,MEL,Qantas,QF781,22/12/26,18:42,20:17,253
323,324,SYD,MEL,Virgin,VA470,22/12/12,08:38,10:13,258
324,325,SYD,MEL,Jetstar,JQ301,22/12/18,23:03,00:38,294
325,326,SYD,MEL,Qantas,QF521,22/11/02,17:23,18:58,134
326,327,SYD,MEL,Qantas,QF726,22/10/22,10:29,12:04,367
327,328,SYD,MEL,Qantas,QF175,22/11/01,17:16,18:51,412
328,329,SYD,MEL,Qantas,QF687,22/12/16,11:53,13:28,413
329,330,SYD,MEL,Virgin,VA892,22/10/28,07:39,09:14,58
330,331,SYD,MEL,Virgin,VA968,22/11/10,14:48,16:23,255
331,332,SYD,MEL,Virgin,VA570,22/12/05,08:53,10:28,435
332,333,SYD,MEL,Virgin,VA571,22/11/15,15:11,16:46,456
333,334,SYD,MEL,Jetstar,JQ767,22/11/08,19:21,20:56,65
334,335,SYD,MEL,Jetstar,JQ120,22/12/22,19:43,21:18,393
335,336,SYD,MEL,Qantas,QF625,22/11/05,18:06,19:41,449
336,337,SYD,MEL,Qantas,QF681,22/10/18,20:19,21:54,220
337,338,SYD,MEL,Virgin,VA406,22/12/21,19:56,21:31,357
338,339,SYD,MEL,Virgin,VA681,22/11/09,21:01,22:36,50
339,340,SYD,MEL,Virgin,VA157,22/09/26,20:42,22:17,500
340,341,SYD,MEL,Jetstar,JQ265,22/12/30,18:11,19:46,418
341,342,SYD,MEL,Qantas,QF252,22/11/23,14:24,15:59,268
342,343,SYD,MEL,Virgin,VA897,22/12/13,11:49,13:24,337
343,344,SYD,MEL,Jetstar,JQ134,22/12/15,20:37,22:12,316
344,345,SYD,MEL,Qantas,QF996,22/10/03,08:45,10:20,286
345,346,SYD,MEL,Virgin,VA802,22/10/28,13:09,14:44,458
346,347,SYD,MEL,Qantas,QF254,22/09/23,10:33,12:08,345
347,348,SYD,MEL,Qantas,QF857,22/12/22,21:10,22:45,200
348,349,SYD,MEL,Qantas,QF181,22/09/15,14:07,15:42,57
349,350,SYD,MEL,Jetstar,JQ185,22/12/07,07:13,08:48,427
350,351,SYD,MEL,Jetstar,JQ890,22/11/13,19:07,20:42,359
351,352,SYD,MEL,Virgin,VA876,22/11/15,08:47,10:22,414
352,353,SYD,MEL,Jetstar,JQ434,22/09/29,10:09,11:44,227
353,354,SYD,MEL,Virgin,VA172,22/11/26,09:24,10:59,291
354,355,SYD,MEL,Virgin,VA951,22/10/26,20:46,22:21,458
355,356,SYD,MEL,Virgin,VA622,22/10/19,06:06,07:41,126
356,357,SYD,MEL,Virgin,VA769,22/10/18,19:51,21:26,436
357,358,SYD,MEL,Jetstar,JQ841,22/12/02,17:51,19:26,395
358,359,SYD,MEL,Jetstar,JQ278,22/12/14,19:39,21:14,224
359,360,SYD,MEL,Jetstar,JQ266,22/12/22,17:34,19:09,189
360,361,SYD,MEL,Jetstar,JQ843,22/10/15,15:31,17:06,161
361,362,SYD,MEL,Virgin,VA528,22/10/18,20:29,22:04,390
362,363,SYD,MEL,Jetstar,JQ513,22/12/21,20:37,22:12,380
363,364,SYD,MEL,Jetstar,JQ628,22/10/02,12:54,14:29,247
364,365,SYD,MEL,Qantas,QF943,22/12/15,12:02,13:37,139
365,366,SYD,MEL,Virgin,VA698,22/09/15,11:35,13:10,313
366,367,SYD,MEL,Jetstar,JQ793,22/10/02,10:44,12:19,97
367,368,SYD,MEL,Jetstar,JQ658,22/11/06,06:35,08:10,476
368,369,SYD,MEL,Jetstar,JQ373,22/10/19,23:42,01:17,294
